shid,label_short,"Weighted Jobs by Industry: Great Recession, Normal","Weighted Jobs by Industry: Covid-19, Normal","Low Wage Workers, Normal","Small Businesses (49 and under), Normal","Individuals below poverty level, Normal","Workers without HS diploma, Normal","Renter Households, Normal","Cost-Burdened Renter Households (30%), Normal","Extreme Cost Burdened Renter Households (50%), Normal","Zero Vehicle Households, Normal","Foreign Born, Normal","Limited English Proficiency, Normal","Single Parent Household, Normal","Households without Internet Access, Normal","Households with Public Assistance Income, Normal","Population in Group Quarters, Normal","Overcrowded Housing Units, Normal",EVI-Home Raw,EVI-Home Normal,EVI-Home Uniform,EVI-Work Raw,EVI-Work Normal,EVI-Work Uniform,EVI Raw,EVI Normal,EVI Uniform,geoid,state,label,below_poverty__pop_16_and_over,business_2017__size_1000_or_more,business_2017__size_100_249,business_2017__size_10_19,business_2017__size_1_4,business_2017__size_20_49,business_2017__size_250_499,business_2017__size_500_999,business_2017__size_50_99,business_2017__size_5_9,family_status__female_no_husband,family_status__male_no_wife,household_computer__without,household_internet_access__without,household_internet_subscription__without,language_english__less_than_very_well,low_wage_wrkers,number_of_businesses_2017,owner_vs_renter__renter,poverty_status_determined__pop_16_and_over,public_assist_income_household__with,rent_as_percentage_of_income__30_or_more,rent_as_percentage_of_income__50_or_more,total__families,total__foreign_born,total__group_quarters,total__household,total__housingunit,total__occupied_housingunit,total__overcrowded_occupied_housingunit,total__pop,total__pop_25_and_over_highschool_credentials,total__pop_over_25,total__pop_over_5,total__wage_wrkers,total__working_poor,units_in_structure__mobile_homes,vehicles__none,wac_2017_jobs_accomodation_food_srvcs,wac_2017_jobs_admin_support_waste_mgmt,wac_2017_jobs_agr_forestry_fish_hunt,wac_2017_jobs_arts_entertainment_rec,wac_2017_jobs_construction,wac_2017_jobs_edu_services,wac_2017_jobs_finance_insurance,wac_2017_jobs_health_care_social_assist,wac_2017_jobs_information,wac_2017_jobs_manufacturing,wac_2017_jobs_mgmt,wac_2017_jobs_mining_quarry_oil_gas,wac_2017_jobs_other_services,wac_2017_jobs_prof_sci_tech_services,wac_2017_jobs_public_admin,wac_2017_jobs_real_estate_rental_leasing,wac_2017_jobs_retail_trade,wac_2017_jobs_transport_warehousing,wac_2017_jobs_utilities,wac_2017_jobs_wholesale_trade,wac_total_2017,"Weighted Jobs by Industry: Great Recession, Ratio","Weighted Jobs by Industry: Covid-19, Ratio","Low Wage Workers, Ratio","Small Businesses (49 and under), Ratio","Individuals below poverty level, Ratio","Workers without HS diploma, Ratio","Renter Households, Ratio","Cost-Burdened Renter Households (30%), Ratio","Extreme Cost Burdened Renter Households (50%), Ratio","Zero Vehicle Households, Ratio","Foreign Born, Ratio","Limited English Proficiency, Ratio","Single Parent Household, Ratio","Households without Internet Access, Ratio","Households with Public Assistance Income, Ratio","Population in Group Quarters, Ratio","Overcrowded Housing Units, Ratio",EVI Normal Moran Local,EVI Normal Moran Cluster,EVI Normal Moran p
country:us/state:ca/county:san_diego,San Diego,0.5732439081500766,0.5736508141335577,0.3810032605197422,0.4394184106159986,0.4533302897800824,0.5085762892637453,0.6829076103515704,0.7122040270693233,0.6918158336995155,0.4938342580541688,0.6949625726072609,0.664595034405258,0.5401267901707829,0.3245269181118623,0.5421916152060886,0.5354089149013324,0.6780809525883513,0.5675297565950016,0.6265521346569733,0.9059087058807576,0.5087098752904089,0.5130653697520677,0.5540350236386297,0.5440018040731646,0.6119832745737416,0.8778847615539394,6073,CA,"San Diego County, CA",301018.0,130.0,2842.0,20220.0,97700.0,14726.0,730.0,222.0,4944.0,28640.0,133874.0,58278.0,67734.0,101881.0,21108.0,436345.0,286773.0,170154.0,525090.0,2583789.0,27977.0,286025.0,144189.0,753761.0,774365.0,89451.0,1118980.0,1204884.0,1118980.0,75015.0,3302833.0,286008.0,2223376.0,3090864.0,1230279.0,25183.0,42081.0,61486.0,169839.0,87138.0,9126.0,35902.0,81443.0,140272.0,45928.0,190368.0,26224.0,109857.0,23629.0,332.0,53244.0,137158.0,41619.0,28304.0,136528.0,26467.0,6819.0,52994.0,1403191.0,4.500524875088281,5.927161733505987,0.23309590751366155,0.9478825064353468,0.009746538900815817,0.1286368117673304,0.4692577168492734,0.25561225401705123,0.1288575309657009,0.05494825644783642,0.2344547847257188,0.1411725006341269,0.2549243062456137,0.09104809737439454,0.02500223417755456,0.027083113194036754,0.06703873170208582,1.5045197080250259,1,0.012
country:us/state:ca/county:orange,Orange,0.6480712034335123,0.5117690149504662,0.3671637522514618,0.4161631926099779,0.473737836419324,0.5359285418953877,0.6553327231233321,0.6873975654965794,0.6768004859508001,0.44146779554238347,0.7315527445929019,0.7035826695090625,0.516019642543274,0.3071500403050269,0.505566754479422,0.4545644257733149,0.7171585972623866,0.5599051881163847,0.6124277181062632,0.8788181911099934,0.4636669714831541,0.4496582033335439,0.30031735303519214,0.5214099014630924,0.5528287608496039,0.7086170591766194,6059,CA,"Orange County, CA",264409.0,146.0,3428.0,22730.0,111194.0,17056.0,890.0,328.0,6268.0,31762.0,121753.0,55283.0,57787.0,85119.0,20941.0,586819.0,324981.0,193802.0,440104.0,2510518.0,20987.0,239938.0,121332.0,741721.0,955302.0,43395.0,1032373.0,1091376.0,1032373.0,91513.0,3164182.0,320340.0,2151512.0,2975226.0,1433455.0,27342.0,30227.0,45380.0,171416.0,147997.0,2428.0,49437.0,104918.0,120302.0,87332.0,191753.0,30280.0,161954.0,37419.0,589.0,48639.0,137544.0,39230.0,40105.0,157316.0,26565.0,6074.0,94570.0,1655868.0,4.903234436561369,5.731082429275763,0.22671168610106351,0.9429314454959186,0.010890979471168898,0.148890640628544,0.4263032837937451,0.23241405964704617,0.11752728907090751,0.04395698066493409,0.30191120485484085,0.19723510079570425,0.23868273919708355,0.08244985097440558,0.020328892754847328,0.013714444997158824,0.08864334886712458,0.7742296409207028,1,0.006
country:us/state:ca/county:imperial,Imperial,0.5230153212804288,0.40184954256341204,0.5865241684075421,0.5010136635717337,0.5092713978536162,0.7145428360387615,0.6474620023244149,0.6671766856133183,0.6665479097823066,0.5615721360623014,0.7367733549690918,0.7689827508057636,0.6404786918725456,0.5059219491089142,0.7003327456772488,0.5920837451020895,0.7397039590536859,0.6486394565542283,0.7812686335441842,0.9982767288015932,0.46041371415048477,0.44361628219370486,0.2788316018591014,0.5733491595927308,0.678814919706038,0.9685174788844763,6025,CA,"Imperial County, CA",26489.0,,56.0,766.0,2456.0,554.0,10.0,,132.0,1096.0,8650.0,3095.0,6748.0,9837.0,1430.0,55204.0,19958.0,5076.0,18340.0,124532.0,2682.0,9364.0,4904.0,33880.0,56043.0,9708.0,44057.0,57468.0,44057.0,4616.0,180216.0,33928.0,109338.0,165124.0,58620.0,1609.0,6076.0,3242.0,4813.0,1543.0,11158.0,319.0,1720.0,6299.0,798.0,9596.0,285.0,1519.0,291.0,446.0,977.0,861.0,6045.0,496.0,6592.0,1853.0,1592.0,2020.0,59223.0,4.2473194535906655,5.3022980936460495,0.3404640054588878,0.9598108747044918,0.012920373879805994,0.3103038284951252,0.41627891141021856,0.21254284222711486,0.11131034795832671,0.07358649022856754,0.31097682780663205,0.3343184515878976,0.3466646989374262,0.22327893410808725,0.060875683773293686,0.053868690904248236,0.10477336178132873,2.3993821855666817,1,0.007
country:us/state:az/county:yuma,Yuma,0.6400956638842661,0.4956215286871203,0.634322978191528,0.4467634309896939,0.5748383615637579,0.6856988364850841,0.5707642526612107,0.5688150587172172,0.5816612449251196,0.5114832739399674,0.7130539078744516,0.7155624743780606,0.5373945680878333,0.4825421430241586,0.485593515329729,0.5292705217429333,0.6841258725858508,0.5893324143831797,0.6652594172449865,0.957145359000811,0.5241896288510439,0.5357100937483155,0.6448069762179974,0.5632753001703255,0.6541012249417515,0.9454717753244912,4027,AZ,"Yuma County, AZ",27509.0,,80.0,920.0,2914.0,634.0,22.0,6.0,196.0,1298.0,9607.0,4166.0,11907.0,14823.0,2057.0,41277.0,23103.0,6074.0,23851.0,155571.0,1302.0,9828.0,5189.0,54354.0,55500.0,5382.0,72463.0,91685.0,72463.0,5053.0,207829.0,36452.0,130819.0,192617.0,61284.0,2808.0,27407.0,4328.0,6225.0,4184.0,10745.0,1483.0,2561.0,3584.0,1084.0,7150.0,410.0,2827.0,284.0,26.0,1362.0,2244.0,2796.0,600.0,7383.0,1189.0,465.0,1361.0,57963.0,4.863326604903128,5.6738609112709835,0.3769825729391032,0.9492920645373724,0.018049636500376033,0.27864453940176886,0.329147288961263,0.13562783765507913,0.07160895905496598,0.05972703310655093,0.2670464660850988,0.21429572675309033,0.25339441439452476,0.2045595683314243,0.01796779045857886,0.02589628973819823,0.0697321391606751,1.683178467531309,1,0.018
country:us/state:az/county:la_paz,La Paz,0.511647735979796,0.4850941951552674,0.5295493382494614,0.5905365640640526,0.5370348390363624,0.6325879228490043,0.47581831141509345,0.44050597510206985,0.4780752599720177,0.5458490585883036,0.6273668750592011,0.6027863100208252,0.5233952362086823,0.6232071454829674,0.5258375645984849,0.41164518665282157,0.6480433728601714,0.5526372568953279,0.6006180217640935,0.8522873712820049,0.5093882770424141,0.5141844301869893,0.5586310267812657,0.5353376649541625,0.5901261636709946,0.8256702779178227,4012,AZ,"La Paz County, AZ",3412.0,,8.0,108.0,328.0,60.0,,,6.0,162.0,859.0,434.0,2097.0,3035.0,441.0,1252.0,1627.0,674.0,2292.0,17583.0,204.0,696.0,379.0,5303.0,2273.0,212.0,8912.0,16274.0,8912.0,466.0,20701.0,3606.0,15910.0,19740.0,5320.0,261.0,8564.0,617.0,666.0,157.0,438.0,369.0,102.0,482.0,46.0,315.0,40.0,156.0,0.0,27.0,71.0,43.0,933.0,86.0,822.0,105.0,86.0,78.0,5022.0,4.189565909996017,5.6322182397451215,0.30582706766917295,0.9762611275964391,0.014843883296365807,0.22664990571967317,0.25718132854578096,0.07809694793536805,0.04252692998204668,0.06923249551166966,0.10980145886672141,0.06342451874366768,0.24382425042428815,0.3405520646319569,0.02289048473967684,0.01024105115694894,0.05228904847396768,1.118522234654358,1,0.002
country:us/state:ca/county:humboldt,Humboldt,0.46915819194836955,0.5627817526444325,0.5671779816140804,0.53580862134066,0.5001195487980707,0.4529466077014223,0.6584465346750288,0.7018899356950601,0.6975529453946387,0.5679446122323093,0.5596810088421261,0.564485063829721,0.6105665148389915,0.4124157009420202,0.6032746610868189,0.5470992925698751,0.6112952998483984,0.5654856492299517,0.6237586757644143,0.9009400057424335,0.560509168473873,0.5856733497026662,0.8135057285268584,0.5634950569275203,0.6547789925074123,0.9462460863838117,6023,CA,"Humboldt County, CA",21946.0,,48.0,986.0,3230.0,618.0,6.0,,158.0,1366.0,6034.0,3441.0,5529.0,8276.0,1738.0,4955.0,15031.0,6418.0,23414.0,109396.0,1872.0,13402.0,7140.0,30101.0,7386.0,4140.0,54267.0,62826.0,54267.0,2085.0,135768.0,8878.0,91946.0,128404.0,45962.0,1356.0,5565.0,4133.0,5779.0,1345.0,1308.0,841.0,1979.0,6375.0,1015.0,8379.0,466.0,2067.0,216.0,8.0,1837.0,1574.0,4903.0,637.0,6986.0,807.0,333.0,984.0,47839.0,3.9653629883567802,5.889776124082862,0.32703102562986813,0.9660330320972266,0.012395334381513036,0.09655667456985623,0.43145926622072345,0.24696408498719297,0.1315716733926696,0.07616046584480439,0.054401626303694536,0.03858914052521728,0.3147735955616093,0.15250520574197948,0.03449610260379236,0.03049319427258264,0.038421139919287965,1.9481796141344991,1,0.011
country:us/state:ca/county:del_norte,Del Norte,0.3418178293415539,0.39217830959575717,0.4489666457296904,0.6008539641834602,0.4417105192687304,0.5827344430868349,0.6143178341629274,0.621797133449817,0.6294737351763561,0.6222429143307818,0.5824318131644185,0.5708052694037303,0.5803852586908567,0.44053567452352166,0.6883813332509233,0.6571389678165636,0.6346924130977714,0.5870708479977846,0.6627844644540756,0.9547477796098242,0.4324598504527033,0.40072537900018784,0.15096005534850207,0.5252264489797521,0.5635820097901245,0.7457479233515015,6015,CA,"Del Norte County, CA",3872.0,,,102.0,454.0,76.0,,,10.0,172.0,1374.0,360.0,1228.0,1706.0,533.0,1096.0,2277.0,822.0,3684.0,18962.0,530.0,1710.0,912.0,6039.0,1926.0,3110.0,9799.0,11373.0,9799.0,459.0,27424.0,3684.0,19437.0,25840.0,8561.0,174.0,2207.0,942.0,1001.0,85.0,298.0,191.0,186.0,724.0,71.0,1467.0,94.0,124.0,4.0,0.0,100.0,172.0,2504.0,131.0,897.0,52.0,25.0,26.0,8152.0,3.3063052011776253,5.252576054955839,0.26597360121481134,0.9781021897810219,0.009176247231304715,0.18953542213304522,0.3759567302785999,0.17450760281661393,0.0930707215021941,0.09613225839371364,0.07023045507584598,0.04241486068111455,0.28713363139592646,0.17409939789774467,0.05408715175017859,0.11340431738623104,0.046841514440249005,0.8596465889357253,1,0.006
country:us/state:or/county:curry,Curry,0.5047428811722859,0.6628994026227973,0.5867982308938489,0.6419037382277748,0.2828475478151947,0.47890226272074876,0.5367077379553018,0.608188690553538,0.556179798178488,0.5554770329124193,0.5174131763080119,0.47834644063964693,0.4343551978292023,0.4671853563720468,0.5934873847453805,0.4367311882460744,0.3917511749871508,0.4774486915591388,0.45927820013035925,0.3359824757470095,0.6412496516411824,0.6876078163007182,0.9744639069374932,0.5429690755919563,0.6091793221261861,0.8718794313308835,41015,OR,"Curry County, OR",2881.0,,,158.0,898.0,84.0,6.0,,12.0,266.0,764.0,374.0,1570.0,2015.0,568.0,283.0,2031.0,1428.0,3147.0,19500.0,343.0,1703.0,657.0,6014.0,737.0,278.0,10440.0,12906.0,10440.0,92.0,22507.0,1987.0,18151.0,21599.0,5964.0,40.0,2381.0,749.0,1057.0,91.0,236.0,69.0,423.0,413.0,87.0,1052.0,91.0,685.0,45.0,23.0,234.0,152.0,217.0,93.0,819.0,110.0,63.0,50.0,6010.0,4.1540765391014975,6.282196339434276,0.34054325955734405,0.9845938375350141,0.0020512820512820513,0.10947055258663435,0.3014367816091954,0.16312260536398468,0.06293103448275862,0.07174329501915709,0.032745368107699825,0.013102458447150332,0.18922514133688062,0.19300766283524903,0.0328544061302682,0.012351712800462078,0.008812260536398468,1.0033374828709738,1,0.04
country:us/state:or/county:coos,Coos,0.5133550435492508,0.6268623902661232,0.5205870083046642,0.5508002200938307,0.386114992746885,0.4816700373089716,0.5927492704699645,0.6008381752659984,0.578140622748635,0.5926359329593284,0.523433507719246,0.4880396457968268,0.49514694888138616,0.48219098130547905,0.6825222260155359,0.48439643559308243,0.5631448597386172,0.5291821217736631,0.5558655118451563,0.7193552775480777,0.5907857735042219,0.6279608368646303,0.9083434837272795,0.5538235824658868,0.6356885113269495,0.9208748553586044,41011,OR,"Coos County, OR",8020.0,,26.0,442.0,1672.0,278.0,16.0,,54.0,670.0,2404.0,1271.0,3975.0,5439.0,1316.0,891.0,6201.0,3160.0,9379.0,52213.0,1390.0,4192.0,1879.0,16347.0,2233.0,1079.0,26640.0,30971.0,26640.0,757.0,63308.0,5253.0,47098.0,60203.0,20553.0,342.0,4990.0,2246.0,3078.0,1433.0,805.0,260.0,957.0,1448.0,452.0,4763.0,226.0,1721.0,139.0,27.0,730.0,462.0,1163.0,234.0,2705.0,915.0,89.0,339.0,21946.0,4.199079558917343,6.116649958990249,0.301707779886148,0.9689873417721518,0.006550092888744183,0.11153339844579388,0.3520645645645646,0.15735735735735737,0.07053303303303303,0.08430930930930931,0.03527200353825741,0.014799926913941166,0.2248118920902918,0.20416666666666666,0.052177177177177174,0.017043659569090795,0.028415915915915916,0.9810866439039103,0,0.143
country:us/state:or/county:lincoln,Lincoln,0.5409803481778931,0.7137314785672638,0.5879574958066474,0.5875700208234828,0.4865679281859636,0.44811123622790994,0.5955719517183848,0.6020883802488053,0.5854234314303991,0.5506124315127837,0.5528352831216921,0.5119555461632739,0.48073495341930206,0.4222245964814614,0.5928568154282426,0.4346418125871486,0.5211998114241039,0.5152279831417221,0.5286905000362208,0.6172793783656875,0.666517800659137,0.7112298927643415,0.9859723070805211,0.5757439101486882,0.6836335593097904,0.9719041359866587,41041,OR,"Lincoln County, OR",6012.0,,18.0,406.0,1766.0,212.0,6.0,,50.0,674.0,1842.0,856.0,2441.0,3368.0,749.0,901.0,5491.0,3134.0,7496.0,40231.0,691.0,3345.0,1537.0,12513.0,2399.0,581.0,21110.0,31328.0,21110.0,459.0,47881.0,3468.0,36834.0,45600.0,16086.0,470.0,3981.0,1484.0,4253.0,721.0,307.0,899.0,840.0,920.0,204.0,2110.0,147.0,865.0,26.0,31.0,660.0,375.0,1111.0,347.0,2353.0,291.0,119.0,146.0,16725.0,4.329985052316891,6.717010463378176,0.34135272908118863,0.9757498404594767,0.011682533369789467,0.09415214204267797,0.35509237328280435,0.15845570819516816,0.07280909521553766,0.07029843675982947,0.05010338129947161,0.019758771929824562,0.2156157596100056,0.159545239223117,0.03273330175272383,0.012134249493536059,0.021743249644718143,1.884060718616246,1,0.021
